,price,address,house_type,bedroom
0,"£725,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Broadway,
Ponteland,
Newcastle Upon Tyne,
NE20 9PW",Detached,×5
1,"£92,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Victoria Road East
Hebburn
Tyne & Wear
NE31 1XG
",Mews,×2
2,"£91,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Victoria Road East
Hebburn
Tyne & Wear
NE31 1XG
",Semi-Detached,×3
3,"£164,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","122 Fowler Street,
South Shields,
NE33 1PZ",End of Terrace,×4
4,"£350,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","29
Princes Road
North Gosforth
Newcastle Upon Tyne
NE3 5TT",Detached,×5
5,"£695,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","95 High Street,
Gosforth,
Newcastle Upon Tyne,
NE3 4AA",Terraced,×4
6,"£200,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Detached,×4
7,"£300,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Terraced,×2
8,"£399,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Stamfordham Road, Newcastle upon Tyne, Tyne & Wear, 
NE5 1NQ",Detached,×5
9,"£89,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","8-9 Red Lion Street,
Stamford,
PE9 1PA",Lodge,×2
10,"£120,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","8-9 Red Lion Street,
Stamford,
PE9 1PA",Lodge,×2
11,"£85,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Victoria Road East
Hebburn
Tyne & Wear
NE31 1XG
",End of Terrace,×1
12,"£449,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Detached,×5
13,"£220,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","65 Percy Street,
Newcastle Upon Tyne,
NE1 7RN",House,×4
14,"£260,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","65 Percy Street,
Newcastle Upon Tyne,
NE1 7RN",House,×5
15,"£95,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","122 Fowler Street,
South Shields,
NE33 1PZ",End of Terrace,×2
16,"£189,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","28 Fenham Hall Drive,
Fenham,
Newcastle Upon Tyne,
NE4 9UU",Semi-Detached,×4
17,"£369,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Stamfordham Road, Newcastle upon Tyne, Tyne & Wear, 
NE5 1NQ",Detached,×4
18,"£170,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","38 Acorn Road,
Jesmond,
Newcastle Upon Tyne,
NE2 2DJ",Terraced,×3
19,"£2,000,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","95 High Street
Gosforth
Newcastle Upon Tyne
NE3 4AA ",Detached,×5
